as_of,location,target,target_end_date,observation
2025-10-29,rtp-area,Flu ED visits pct,2016-10-08,0.05
2025-10-29,rtp-area,Flu ED visits pct,2016-10-15,0.07
2025-10-29,rtp-area,Flu ED visits pct,2016-10-22,0.06
2025-10-29,rtp-area,Flu ED visits pct,2016-10-29,0.08
2025-10-29,rtp-area,Flu ED visits pct,2016-11-05,0.09
2025-10-29,rtp-area,Flu ED visits pct,2016-11-12,0.09
2025-10-29,rtp-area,Flu ED visits pct,2016-11-19,0.06
2025-10-29,rtp-area,Flu ED visits pct,2016-11-26,0.04
2025-10-29,rtp-area,Flu ED visits pct,2016-12-03,0.12
2025-10-29,rtp-area,Flu ED visits pct,2016-12-10,0.09
2025-10-29,rtp-area,Flu ED visits pct,2016-12-17,0.25
2025-10-29,rtp-area,Flu ED visits pct,2016-12-24,0.42
2025-10-29,rtp-area,Flu ED visits pct,2016-12-31,0.82
2025-10-29,rtp-area,Flu ED visits pct,2017-01-07,0.63
2025-10-29,rtp-area,Flu ED visits pct,2017-01-14,0.58
2025-10-29,rtp-area,Flu ED visits pct,2017-01-21,0.74
2025-10-29,rtp-area,Flu ED visits pct,2017-01-28,0.9
2025-10-29,rtp-area,Flu ED visits pct,2017-02-04,1.68
2025-10-29,rtp-area,Flu ED visits pct,2017-02-11,3.02
2025-10-29,rtp-area,Flu ED visits pct,2017-02-18,4.08
2025-10-29,rtp-area,Flu ED visits pct,2017-02-25,5.25
2025-10-29,rtp-area,Flu ED visits pct,2017-03-04,3.96
2025-10-29,rtp-area,Flu ED visits pct,2017-03-11,3.45
2025-10-29,rtp-area,Flu ED visits pct,2017-03-18,3.76
2025-10-29,rtp-area,Flu ED visits pct,2017-03-25,3.94
2025-10-29,rtp-area,Flu ED visits pct,2017-04-01,3.22
2025-10-29,rtp-area,Flu ED visits pct,2017-04-08,1.77
2025-10-29,rtp-area,Flu ED visits pct,2017-04-15,1.05
2025-10-29,rtp-area,Flu ED visits pct,2017-04-22,0.47
2025-10-29,rtp-area,Flu ED visits pct,2017-04-29,0.14
2025-10-29,rtp-area,Flu ED visits pct,2017-05-06,0.16
2025-10-29,rtp-area,Flu ED visits pct,2017-05-13,0.09
2025-10-29,rtp-area,Flu ED visits pct,2017-05-20,0.05
2025-10-29,rtp-area,Flu ED visits pct,2017-05-27,0.01
2025-10-29,rtp-area,Flu ED visits pct,2017-06-03,0.04
2025-10-29,rtp-area,Flu ED visits pct,2017-06-10,0.03
2025-10-29,rtp-area,Flu ED visits pct,2017-06-17,0.05
2025-10-29,rtp-area,Flu ED visits pct,2017-06-24,0.01
2025-10-29,rtp-area,Flu ED visits pct,2017-07-01,0.01
2025-10-29,rtp-area,Flu ED visits pct,2017-07-08,0.01
2025-10-29,rtp-area,Flu ED visits pct,2017-07-15,0.02
2025-10-29,rtp-area,Flu ED visits pct,2017-07-22,0.01
2025-10-29,rtp-area,Flu ED visits pct,2017-07-29,0.01
2025-10-29,rtp-area,Flu ED visits pct,2017-08-05,0.02
2025-10-29,rtp-area,Flu ED visits pct,2017-08-12,0.01
2025-10-29,rtp-area,Flu ED visits pct,2017-08-19,0.01
2025-10-29,rtp-area,Flu ED visits pct,2017-08-26,0.02
2025-10-29,rtp-area,Flu ED visits pct,2017-09-02,0.02
2025-10-29,rtp-area,Flu ED visits pct,2017-09-09,0.02
2025-10-29,rtp-area,Flu ED visits pct,2017-09-16,0.02
2025-10-29,rtp-area,Flu ED visits pct,2017-09-23,0.03
2025-10-29,rtp-area,Flu ED visits pct,2017-09-30,0.06
2025-10-29,rtp-area,Flu ED visits pct,2017-10-07,0.05
2025-10-29,rtp-area,Flu ED visits pct,2017-10-14,0.04
2025-10-29,rtp-area,Flu ED visits pct,2017-10-21,0.05
2025-10-29,rtp-area,Flu ED visits pct,2017-10-28,0.09
2025-10-29,rtp-area,Flu ED visits pct,2017-11-04,0.08
2025-10-29,rtp-area,Flu ED visits pct,2017-11-11,0.09
2025-10-29,rtp-area,Flu ED visits pct,2017-11-18,0.16
2025-10-29,rtp-area,Flu ED visits pct,2017-11-25,0.19
2025-10-29,rtp-area,Flu ED visits pct,2017-12-02,0.19
2025-10-29,rtp-area,Flu ED visits pct,2017-12-09,0.36
2025-10-29,rtp-area,Flu ED visits pct,2017-12-16,0.47
2025-10-29,rtp-area,Flu ED visits pct,2017-12-23,1.19
2025-10-29,rtp-area,Flu ED visits pct,2017-12-30,2.12
2025-10-29,rtp-area,Flu ED visits pct,2018-01-06,2.97
2025-10-29,rtp-area,Flu ED visits pct,2018-01-13,4.34
2025-10-29,rtp-area,Flu ED visits pct,2018-01-20,5.91
2025-10-29,rtp-area,Flu ED visits pct,2018-01-27,6.25
2025-10-29,rtp-area,Flu ED visits pct,2018-02-03,7.79
2025-10-29,rtp-area,Flu ED visits pct,2018-02-10,7.7
2025-10-29,rtp-area,Flu ED visits pct,2018-02-17,6.57
2025-10-29,rtp-area,Flu ED visits pct,2018-02-24,3.81
2025-10-29,rtp-area,Flu ED visits pct,2018-03-03,2.04
2025-10-29,rtp-area,Flu ED visits pct,2018-03-10,1.67
2025-10-29,rtp-area,Flu ED visits pct,2018-03-17,1.74
2025-10-29,rtp-area,Flu ED visits pct,2018-03-24,1.68
2025-10-29,rtp-area,Flu ED visits pct,2018-03-31,2.06
2025-10-29,rtp-area,Flu ED visits pct,2018-04-07,1.27
2025-10-29,rtp-area,Flu ED visits pct,2018-04-14,0.77
2025-10-29,rtp-area,Flu ED visits pct,2018-04-21,0.57
2025-10-29,rtp-area,Flu ED visits pct,2018-04-28,0.36
2025-10-29,rtp-area,Flu ED visits pct,2018-05-05,0.29
2025-10-29,rtp-area,Flu ED visits pct,2018-05-12,0.11
2025-10-29,rtp-area,Flu ED visits pct,2018-05-19,0.08
2025-10-29,rtp-area,Flu ED visits pct,2018-05-26,0.1
2025-10-29,rtp-area,Flu ED visits pct,2018-06-02,0.02
2025-10-29,rtp-area,Flu ED visits pct,2018-06-09,0.01
2025-10-29,rtp-area,Flu ED visits pct,2018-06-16,0.05
2025-10-29,rtp-area,Flu ED visits pct,2018-06-23,0.02
2025-10-29,rtp-area,Flu ED visits pct,2018-06-30,0.03
2025-10-29,rtp-area,Flu ED visits pct,2018-07-07,0.01
2025-10-29,rtp-area,Flu ED visits pct,2018-07-14,0.03
2025-10-29,rtp-area,Flu ED visits pct,2018-07-21,0.02
2025-10-29,rtp-area,Flu ED visits pct,2018-07-28,0.03
2025-10-29,rtp-area,Flu ED visits pct,2018-08-04,0.01
2025-10-29,rtp-area,Flu ED visits pct,2018-08-11,0.01
2025-10-29,rtp-area,Flu ED visits pct,2018-08-18,0.01
2025-10-29,rtp-area,Flu ED visits pct,2018-08-25,0.01
2025-10-29,rtp-area,Flu ED visits pct,2018-09-01,0.02
2025-10-29,rtp-area,Flu ED visits pct,2018-09-08,0.02
2025-10-29,rtp-area,Flu ED visits pct,2018-09-15,0.05
2025-10-29,rtp-area,Flu ED visits pct,2018-09-22,0.02
2025-10-29,rtp-area,Flu ED visits pct,2018-09-29,0.02
2025-10-29,rtp-area,Flu ED visits pct,2018-10-06,0.03
2025-10-29,rtp-area,Flu ED visits pct,2018-10-13,0.03
2025-10-29,rtp-area,Flu ED visits pct,2018-10-20,0.09
2025-10-29,rtp-area,Flu ED visits pct,2018-10-27,0.1
2025-10-29,rtp-area,Flu ED visits pct,2018-11-03,0.05
2025-10-29,rtp-area,Flu ED visits pct,2018-11-10,0.1
2025-10-29,rtp-area,Flu ED visits pct,2018-11-17,0.14
2025-10-29,rtp-area,Flu ED visits pct,2018-11-24,0.33
2025-10-29,rtp-area,Flu ED visits pct,2018-12-01,0.29
2025-10-29,rtp-area,Flu ED visits pct,2018-12-08,0.34
2025-10-29,rtp-area,Flu ED visits pct,2018-12-15,0.67
2025-10-29,rtp-area,Flu ED visits pct,2018-12-22,0.79
2025-10-29,rtp-area,Flu ED visits pct,2018-12-29,1.2
2025-10-29,rtp-area,Flu ED visits pct,2019-01-05,1.06
2025-10-29,rtp-area,Flu ED visits pct,2019-01-12,1.04
2025-10-29,rtp-area,Flu ED visits pct,2019-01-19,1.42
2025-10-29,rtp-area,Flu ED visits pct,2019-01-26,2.43
2025-10-29,rtp-area,Flu ED visits pct,2019-02-02,3.87
2025-10-29,rtp-area,Flu ED visits pct,2019-02-09,5.88
2025-10-29,rtp-area,Flu ED visits pct,2019-02-16,5.63
2025-10-29,rtp-area,Flu ED visits pct,2019-02-23,5.76
2025-10-29,rtp-area,Flu ED visits pct,2019-03-02,5.24
2025-10-29,rtp-area,Flu ED visits pct,2019-03-09,4.05
2025-10-29,rtp-area,Flu ED visits pct,2019-03-16,3.88
2025-10-29,rtp-area,Flu ED visits pct,2019-03-23,2.78
2025-10-29,rtp-area,Flu ED visits pct,2019-03-30,1.89
2025-10-29,rtp-area,Flu ED visits pct,2019-04-06,1.43
2025-10-29,rtp-area,Flu ED visits pct,2019-04-13,0.92
2025-10-29,rtp-area,Flu ED visits pct,2019-04-20,0.67
2025-10-29,rtp-area,Flu ED visits pct,2019-04-27,0.22
2025-10-29,rtp-area,Flu ED visits pct,2019-05-04,0.13
2025-10-29,rtp-area,Flu ED visits pct,2019-05-11,0.11
2025-10-29,rtp-area,Flu ED visits pct,2019-05-18,0.07
2025-10-29,rtp-area,Flu ED visits pct,2019-05-25,0.08
2025-10-29,rtp-area,Flu ED visits pct,2019-06-01,0.09
2025-10-29,rtp-area,Flu ED visits pct,2019-06-08,0.06
2025-10-29,rtp-area,Flu ED visits pct,2019-06-15,0.1
2025-10-29,rtp-area,Flu ED visits pct,2019-06-22,0.05
2025-10-29,rtp-area,Flu ED visits pct,2019-06-29,0.03
2025-10-29,rtp-area,Flu ED visits pct,2019-07-06,0.06
2025-10-29,rtp-area,Flu ED visits pct,2019-07-13,0.04
2025-10-29,rtp-area,Flu ED visits pct,2019-07-20,0.03
2025-10-29,rtp-area,Flu ED visits pct,2019-07-27,0.01
2025-10-29,rtp-area,Flu ED visits pct,2019-08-03,0.04
2025-10-29,rtp-area,Flu ED visits pct,2019-08-10,0.01
2025-10-29,rtp-area,Flu ED visits pct,2019-08-17,0.04
2025-10-29,rtp-area,Flu ED visits pct,2019-08-24,0.02
2025-10-29,rtp-area,Flu ED visits pct,2019-08-31,0.01
2025-10-29,rtp-area,Flu ED visits pct,2019-09-07,0.05
2025-10-29,rtp-area,Flu ED visits pct,2019-09-14,0.04
2025-10-29,rtp-area,Flu ED visits pct,2019-09-21,0.07
2025-10-29,rtp-area,Flu ED visits pct,2019-09-28,0.11
2025-10-29,rtp-area,Flu ED visits pct,2019-10-05,0.09
2025-10-29,rtp-area,Flu ED visits pct,2019-10-12,0.13
2025-10-29,rtp-area,Flu ED visits pct,2019-10-19,0.13
2025-10-29,rtp-area,Flu ED visits pct,2019-10-26,0.14
2025-10-29,rtp-area,Flu ED visits pct,2019-11-02,0.12
2025-10-29,rtp-area,Flu ED visits pct,2019-11-09,0.18
2025-10-29,rtp-area,Flu ED visits pct,2019-11-16,0.21
2025-10-29,rtp-area,Flu ED visits pct,2019-11-23,0.21
2025-10-29,rtp-area,Flu ED visits pct,2019-11-30,0.44
2025-10-29,rtp-area,Flu ED visits pct,2019-12-07,0.55
2025-10-29,rtp-area,Flu ED visits pct,2019-12-14,0.97
2025-10-29,rtp-area,Flu ED visits pct,2019-12-21,1.96
2025-10-29,rtp-area,Flu ED visits pct,2019-12-28,3.47
2025-10-29,rtp-area,Flu ED visits pct,2020-01-04,4.74
2025-10-29,rtp-area,Flu ED visits pct,2020-01-11,4.23
2025-10-29,rtp-area,Flu ED visits pct,2020-01-18,5.2
2025-10-29,rtp-area,Flu ED visits pct,2020-01-25,6.19
2025-10-29,rtp-area,Flu ED visits pct,2020-02-01,8.84
2025-10-29,rtp-area,Flu ED visits pct,2020-02-08,10.36
2025-10-29,rtp-area,Flu ED visits pct,2020-02-15,7.87
2025-10-29,rtp-area,Flu ED visits pct,2020-02-22,6.03
2025-10-29,rtp-area,Flu ED visits pct,2020-02-29,4.47
2025-10-29,rtp-area,Flu ED visits pct,2020-03-07,3.75
2025-10-29,rtp-area,Flu ED visits pct,2020-03-14,3.98
2025-10-29,rtp-area,Flu ED visits pct,2020-03-21,2.34
2025-10-29,rtp-area,Flu ED visits pct,2020-03-28,0.63
2025-10-29,rtp-area,Flu ED visits pct,2020-04-04,0.28
2025-10-29,rtp-area,Flu ED visits pct,2020-04-11,0.12
2025-10-29,rtp-area,Flu ED visits pct,2020-04-18,0.11
2025-10-29,rtp-area,Flu ED visits pct,2020-04-25,0.05
2025-10-29,rtp-area,Flu ED visits pct,2020-05-02,0.04
2025-10-29,rtp-area,Flu ED visits pct,2020-05-09,0.06
2025-10-29,rtp-area,Flu ED visits pct,2020-05-16,0.02
2025-10-29,rtp-area,Flu ED visits pct,2020-05-23,0.05
2025-10-29,rtp-area,Flu ED visits pct,2020-05-30,0.04
2025-10-29,rtp-area,Flu ED visits pct,2020-06-06,0.03
2025-10-29,rtp-area,Flu ED visits pct,2020-06-13,0.09
2025-10-29,rtp-area,Flu ED visits pct,2020-06-20,0.08
2025-10-29,rtp-area,Flu ED visits pct,2020-06-27,0.08
2025-10-29,rtp-area,Flu ED visits pct,2020-07-04,0.02
2025-10-29,rtp-area,Flu ED visits pct,2020-07-11,0.1
2025-10-29,rtp-area,Flu ED visits pct,2020-07-18,0.06
2025-10-29,rtp-area,Flu ED visits pct,2020-07-25,0.07
2025-10-29,rtp-area,Flu ED visits pct,2020-08-01,0.08
2025-10-29,rtp-area,Flu ED visits pct,2020-08-08,0.08
2025-10-29,rtp-area,Flu ED visits pct,2020-08-15,0.07
2025-10-29,rtp-area,Flu ED visits pct,2020-08-22,0.07
2025-10-29,rtp-area,Flu ED visits pct,2020-08-29,0.03
2025-10-29,rtp-area,Flu ED visits pct,2020-09-05,0.02
2025-10-29,rtp-area,Flu ED visits pct,2020-09-12,0.03
2025-10-29,rtp-area,Flu ED visits pct,2020-09-19,0.03
2025-10-29,rtp-area,Flu ED visits pct,2020-09-26,0.04
2025-10-29,rtp-area,Flu ED visits pct,2020-10-03,0.02
2025-10-29,rtp-area,Flu ED visits pct,2020-10-10,0.05
2025-10-29,rtp-area,Flu ED visits pct,2020-10-17,0.05
2025-10-29,rtp-area,Flu ED visits pct,2020-10-24,0.05
2025-10-29,rtp-area,Flu ED visits pct,2020-10-31,0.03
2025-10-29,rtp-area,Flu ED visits pct,2020-11-07,0.05
2025-10-29,rtp-area,Flu ED visits pct,2020-11-14,0.05
2025-10-29,rtp-area,Flu ED visits pct,2020-11-21,0.02
2025-10-29,rtp-area,Flu ED visits pct,2020-11-28,0.11
2025-10-29,rtp-area,Flu ED visits pct,2020-12-05,0.06
2025-10-29,rtp-area,Flu ED visits pct,2020-12-12,0.04
2025-10-29,rtp-area,Flu ED visits pct,2020-12-19,0.05
2025-10-29,rtp-area,Flu ED visits pct,2020-12-26,0.07
2025-10-29,rtp-area,Flu ED visits pct,2021-01-02,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-01-09,0.07
2025-10-29,rtp-area,Flu ED visits pct,2021-01-16,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-01-23,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-01-30,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-02-06,0.05
2025-10-29,rtp-area,Flu ED visits pct,2021-02-13,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-02-20,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-02-27,0.02
2025-10-29,rtp-area,Flu ED visits pct,2021-03-06,0.01
2025-10-29,rtp-area,Flu ED visits pct,2021-03-13,0.02
2025-10-29,rtp-area,Flu ED visits pct,2021-03-20,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-03-27,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-04-03,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-04-10,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-04-17,0.05
2025-10-29,rtp-area,Flu ED visits pct,2021-04-24,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-05-01,0.02
2025-10-29,rtp-area,Flu ED visits pct,2021-05-08,0.02
2025-10-29,rtp-area,Flu ED visits pct,2021-05-15,0.05
2025-10-29,rtp-area,Flu ED visits pct,2021-05-22,0.01
2025-10-29,rtp-area,Flu ED visits pct,2021-05-29,0.06
2025-10-29,rtp-area,Flu ED visits pct,2021-06-05,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-06-12,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-06-19,0.02
2025-10-29,rtp-area,Flu ED visits pct,2021-06-26,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-07-03,0.02
2025-10-29,rtp-area,Flu ED visits pct,2021-07-10,0.05
2025-10-29,rtp-area,Flu ED visits pct,2021-07-17,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-07-24,0.01
2025-10-29,rtp-area,Flu ED visits pct,2021-07-31,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-08-07,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-08-14,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-08-21,0.06
2025-10-29,rtp-area,Flu ED visits pct,2021-08-28,0.08
2025-10-29,rtp-area,Flu ED visits pct,2021-09-04,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-09-11,0.03
2025-10-29,rtp-area,Flu ED visits pct,2021-09-18,0.1
2025-10-29,rtp-area,Flu ED visits pct,2021-09-25,0.02
2025-10-29,rtp-area,Flu ED visits pct,2021-10-02,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-10-09,0.06
2025-10-29,rtp-area,Flu ED visits pct,2021-10-16,0.04
2025-10-29,rtp-area,Flu ED visits pct,2021-10-23,0.08
2025-10-29,rtp-area,Flu ED visits pct,2021-10-30,0.06
2025-10-29,rtp-area,Flu ED visits pct,2021-11-06,0.06
2025-10-29,rtp-area,Flu ED visits pct,2021-11-13,0.08
2025-10-29,rtp-area,Flu ED visits pct,2021-11-20,0.18
2025-10-29,rtp-area,Flu ED visits pct,2021-11-27,0.4
2025-10-29,rtp-area,Flu ED visits pct,2021-12-04,0.56
2025-10-29,rtp-area,Flu ED visits pct,2021-12-11,0.56
2025-10-29,rtp-area,Flu ED visits pct,2021-12-18,0.68
2025-10-29,rtp-area,Flu ED visits pct,2021-12-25,0.66
2025-10-29,rtp-area,Flu ED visits pct,2022-01-01,0.56
2025-10-29,rtp-area,Flu ED visits pct,2022-01-08,0.52
2025-10-29,rtp-area,Flu ED visits pct,2022-01-15,0.27
2025-10-29,rtp-area,Flu ED visits pct,2022-01-22,0.13
2025-10-29,rtp-area,Flu ED visits pct,2022-01-29,0.14
2025-10-29,rtp-area,Flu ED visits pct,2022-02-05,0.11
2025-10-29,rtp-area,Flu ED visits pct,2022-02-12,0.11
2025-10-29,rtp-area,Flu ED visits pct,2022-02-19,0.14
2025-10-29,rtp-area,Flu ED visits pct,2022-02-26,0.23
2025-10-29,rtp-area,Flu ED visits pct,2022-03-05,0.23
2025-10-29,rtp-area,Flu ED visits pct,2022-03-12,0.23
2025-10-29,rtp-area,Flu ED visits pct,2022-03-19,0.37
2025-10-29,rtp-area,Flu ED visits pct,2022-03-26,0.29
2025-10-29,rtp-area,Flu ED visits pct,2022-04-02,0.34
2025-10-29,rtp-area,Flu ED visits pct,2022-04-09,0.42
2025-10-29,rtp-area,Flu ED visits pct,2022-04-16,0.66
2025-10-29,rtp-area,Flu ED visits pct,2022-04-23,0.7
2025-10-29,rtp-area,Flu ED visits pct,2022-04-30,0.61
2025-10-29,rtp-area,Flu ED visits pct,2022-05-07,0.77
2025-10-29,rtp-area,Flu ED visits pct,2022-05-14,0.78
2025-10-29,rtp-area,Flu ED visits pct,2022-05-21,0.84
2025-10-29,rtp-area,Flu ED visits pct,2022-05-28,0.93
2025-10-29,rtp-area,Flu ED visits pct,2022-06-04,1.05
2025-10-29,rtp-area,Flu ED visits pct,2022-06-11,0.89
2025-10-29,rtp-area,Flu ED visits pct,2022-06-18,0.82
2025-10-29,rtp-area,Flu ED visits pct,2022-06-25,0.77
2025-10-29,rtp-area,Flu ED visits pct,2022-07-02,0.49
2025-10-29,rtp-area,Flu ED visits pct,2022-07-09,0.55
2025-10-29,rtp-area,Flu ED visits pct,2022-07-16,0.51
2025-10-29,rtp-area,Flu ED visits pct,2022-07-23,0.42
2025-10-29,rtp-area,Flu ED visits pct,2022-07-30,0.32
2025-10-29,rtp-area,Flu ED visits pct,2022-08-06,0.16
2025-10-29,rtp-area,Flu ED visits pct,2022-08-13,0.26
2025-10-29,rtp-area,Flu ED visits pct,2022-08-20,0.27
2025-10-29,rtp-area,Flu ED visits pct,2022-08-27,0.19
2025-10-29,rtp-area,Flu ED visits pct,2022-09-03,0.26
2025-10-29,rtp-area,Flu ED visits pct,2022-09-10,0.25
2025-10-29,rtp-area,Flu ED visits pct,2022-09-17,0.33
2025-10-29,rtp-area,Flu ED visits pct,2022-09-24,0.53
2025-10-29,rtp-area,Flu ED visits pct,2022-10-01,0.76
2025-10-29,rtp-area,Flu ED visits pct,2022-10-08,0.64
2025-10-29,rtp-area,Flu ED visits pct,2022-10-15,1.16
2025-10-29,rtp-area,Flu ED visits pct,2022-10-22,1.97
2025-10-29,rtp-area,Flu ED visits pct,2022-10-29,5.21
2025-10-29,rtp-area,Flu ED visits pct,2022-11-05,8.25
2025-10-29,rtp-area,Flu ED visits pct,2022-11-12,8
2025-10-29,rtp-area,Flu ED visits pct,2022-11-19,6.46
2025-10-29,rtp-area,Flu ED visits pct,2022-11-26,7.9
2025-10-29,rtp-area,Flu ED visits pct,2022-12-03,6.32
2025-10-29,rtp-area,Flu ED visits pct,2022-12-10,4.52
2025-10-29,rtp-area,Flu ED visits pct,2022-12-17,3.61
2025-10-29,rtp-area,Flu ED visits pct,2022-12-24,2.92
2025-10-29,rtp-area,Flu ED visits pct,2022-12-31,2.61
2025-10-29,rtp-area,Flu ED visits pct,2023-01-07,1.27
2025-10-29,rtp-area,Flu ED visits pct,2023-01-14,0.53
2025-10-29,rtp-area,Flu ED visits pct,2023-01-21,0.49
2025-10-29,rtp-area,Flu ED visits pct,2023-01-28,0.37
2025-10-29,rtp-area,Flu ED visits pct,2023-02-04,0.38
2025-10-29,rtp-area,Flu ED visits pct,2023-02-11,0.47
2025-10-29,rtp-area,Flu ED visits pct,2023-02-18,0.24
2025-10-29,rtp-area,Flu ED visits pct,2023-02-25,0.28
2025-10-29,rtp-area,Flu ED visits pct,2023-03-04,0.25
2025-10-29,rtp-area,Flu ED visits pct,2023-03-11,0.27
2025-10-29,rtp-area,Flu ED visits pct,2023-03-18,0.25
2025-10-29,rtp-area,Flu ED visits pct,2023-03-25,0.29
2025-10-29,rtp-area,Flu ED visits pct,2023-04-01,0.25
2025-10-29,rtp-area,Flu ED visits pct,2023-04-08,0.17
2025-10-29,rtp-area,Flu ED visits pct,2023-04-15,0.25
2025-10-29,rtp-area,Flu ED visits pct,2023-04-22,0.22
2025-10-29,rtp-area,Flu ED visits pct,2023-04-29,0.15
2025-10-29,rtp-area,Flu ED visits pct,2023-05-06,0.15
2025-10-29,rtp-area,Flu ED visits pct,2023-05-13,0.15
2025-10-29,rtp-area,Flu ED visits pct,2023-05-20,0.2
2025-10-29,rtp-area,Flu ED visits pct,2023-05-27,0.22
2025-10-29,rtp-area,Flu ED visits pct,2023-06-03,0.15
2025-10-29,rtp-area,Flu ED visits pct,2023-06-10,0.16
2025-10-29,rtp-area,Flu ED visits pct,2023-06-17,0.09
2025-10-29,rtp-area,Flu ED visits pct,2023-06-24,0.06
2025-10-29,rtp-area,Flu ED visits pct,2023-07-01,0.11
2025-10-29,rtp-area,Flu ED visits pct,2023-07-08,0.11
2025-10-29,rtp-area,Flu ED visits pct,2023-07-15,0.27
2025-10-29,rtp-area,Flu ED visits pct,2023-07-22,0.15
2025-10-29,rtp-area,Flu ED visits pct,2023-07-29,0.13
2025-10-29,rtp-area,Flu ED visits pct,2023-08-05,0.22
2025-10-29,rtp-area,Flu ED visits pct,2023-08-12,0.16
2025-10-29,rtp-area,Flu ED visits pct,2023-08-19,0.19
2025-10-29,rtp-area,Flu ED visits pct,2023-08-26,0.13
2025-10-29,rtp-area,Flu ED visits pct,2023-09-02,0.2
2025-10-29,rtp-area,Flu ED visits pct,2023-09-09,0.16
2025-10-29,rtp-area,Flu ED visits pct,2023-09-16,0.18
2025-10-29,rtp-area,Flu ED visits pct,2023-09-23,0.28
2025-10-29,rtp-area,Flu ED visits pct,2023-09-30,0.36
2025-10-29,rtp-area,Flu ED visits pct,2023-10-07,0.28
2025-10-29,rtp-area,Flu ED visits pct,2023-10-14,0.24
2025-10-29,rtp-area,Flu ED visits pct,2023-10-21,0.38
2025-10-29,rtp-area,Flu ED visits pct,2023-10-28,0.45
2025-10-29,rtp-area,Flu ED visits pct,2023-11-04,0.59
2025-10-29,rtp-area,Flu ED visits pct,2023-11-11,0.98
2025-10-29,rtp-area,Flu ED visits pct,2023-11-18,1.12
2025-10-29,rtp-area,Flu ED visits pct,2023-11-25,1.93
2025-10-29,rtp-area,Flu ED visits pct,2023-12-02,2.4
2025-10-29,rtp-area,Flu ED visits pct,2023-12-09,3.88
2025-10-29,rtp-area,Flu ED visits pct,2023-12-16,5.72
2025-10-29,rtp-area,Flu ED visits pct,2023-12-23,8.92
2025-10-29,rtp-area,Flu ED visits pct,2023-12-30,9.29
2025-10-29,rtp-area,Flu ED visits pct,2024-01-06,5.67
2025-10-29,rtp-area,Flu ED visits pct,2024-01-13,4
2025-10-29,rtp-area,Flu ED visits pct,2024-01-20,3.58
2025-10-29,rtp-area,Flu ED visits pct,2024-01-27,3.77
2025-10-29,rtp-area,Flu ED visits pct,2024-02-03,3.3
2025-10-29,rtp-area,Flu ED visits pct,2024-02-10,3.41
2025-10-29,rtp-area,Flu ED visits pct,2024-02-17,3.51
2025-10-29,rtp-area,Flu ED visits pct,2024-02-24,2.77
2025-10-29,rtp-area,Flu ED visits pct,2024-03-02,3
2025-10-29,rtp-area,Flu ED visits pct,2024-03-09,1.88
2025-10-29,rtp-area,Flu ED visits pct,2024-03-16,1.37
2025-10-29,rtp-area,Flu ED visits pct,2024-03-23,1
2025-10-29,rtp-area,Flu ED visits pct,2024-03-30,0.82
2025-10-29,rtp-area,Flu ED visits pct,2024-04-06,0.74
2025-10-29,rtp-area,Flu ED visits pct,2024-04-13,0.55
2025-10-29,rtp-area,Flu ED visits pct,2024-04-20,0.42
2025-10-29,rtp-area,Flu ED visits pct,2024-04-27,0.34
2025-10-29,rtp-area,Flu ED visits pct,2024-05-04,0.23
2025-10-29,rtp-area,Flu ED visits pct,2024-05-11,0.24
2025-10-29,rtp-area,Flu ED visits pct,2024-05-18,0.21
2025-10-29,rtp-area,Flu ED visits pct,2024-05-25,0.21
2025-10-29,rtp-area,Flu ED visits pct,2024-06-01,0.18
2025-10-29,rtp-area,Flu ED visits pct,2024-06-08,0.19
2025-10-29,rtp-area,Flu ED visits pct,2024-06-15,0.09
2025-10-29,rtp-area,Flu ED visits pct,2024-06-22,0.02
2025-10-29,rtp-area,Flu ED visits pct,2024-06-29,0.12
2025-10-29,rtp-area,Flu ED visits pct,2024-07-06,0.15
2025-10-29,rtp-area,Flu ED visits pct,2024-07-13,0.14
2025-10-29,rtp-area,Flu ED visits pct,2024-07-20,0.12
2025-10-29,rtp-area,Flu ED visits pct,2024-07-27,0.13
2025-10-29,rtp-area,Flu ED visits pct,2024-08-03,0.09
2025-10-29,rtp-area,Flu ED visits pct,2024-08-10,0.17
2025-10-29,rtp-area,Flu ED visits pct,2024-08-17,0.17
